Blonde Ruiter	Calidris subruficollis
Gestreepte Strandloper	Calidris melanotos
Alaskastrandloper	Calidris mauri
Grijze Strandloper	Calidris pusilla
Grote Franjepoot	Phalaropus tricolor
Grauwe Franjepoot	Phalaropus lobatus
Rosse Franjepoot	Phalaropus fulicarius
Terekruiter	Xenus cinereus
Oeverloper	Actitis hypoleucos
Amerikaanse Oeverloper	Actitis macularius
Witgat	Tringa ochropus
Amerikaanse Bosruiter	Tringa solitaria
Siberische Grijze Ruiter	Tringa brevipes
Zwarte Ruiter	Tringa erythropus
Grote Geelpootruiter	Tringa melanoleuca
Groenpootruiter	Tringa nebularia
Kleine Geelpootruiter	Tringa flavipes
Poelruiter	Tringa stagnatilis
Bosruiter	Tringa glareola
Tureluur	Tringa totanus
Bokje	Lymnocryptes minimus
Grote Grijze Snip	Limnodromus scolopaceus
Houtsnip	Scolopax rusticola
Watersnip	Gallinago gallinago
Poelsnip	Gallinago media
Vorkstaartplevier	Glareola pratincola
Oosterse Vorkstaartplevier	Glareola maldivarum
Steppevorkstaartplevier	Glareola nordmanni
Renvogel	Cursorius cursor
Papegaaiduiker	Fratercula arctica
Zwarte Zeekoet	Cepphus grylle
Alk	Alca torda
Kleine Alk	Alle alle
Kortbekzeekoet	Uria lomvia
Zeekoet	Uria aalge
Kleinste Jager	Stercorarius longicaudus
Kleine Jager	Stercorarius parasiticus
Middelste Jager	Stercorarius pomarinus
Grote Jager	Stercorarius skua
Drieteenmeeuw	Rissa tridactyla
Ivoormeeuw	Pagophila eburnea
Vorkstaartmeeuw	Xema sabini
Dunbekmeeuw	Chroicocephalus genei
Kleine Kokmeeuw	Chroicocephalus philadelphia
Kokmeeuw	Chroicocephalus ridibundus
Dwergmeeuw	Hydrocoloeus minutus
Ross' Meeuw	Rhodostethia rosea
Lachmeeuw	Larus atricilla
Franklins Meeuw	Larus pipixcan
Zwartkopmeeuw	Larus melanocephalus
Audouins Meeuw	Larus audouinii
Reuzenzwartkopmeeuw	Larus ichthyaetus
Stormmeeuw	Larus canus
Ringsnavelmeeuw	Larus delawarensis
Kleine Mantelmeeuw	Larus fuscus
Zilvermeeuw	Larus argentatus
Geelpootmeeuw	Larus michahellis
Pontische Meeuw	Larus cachinnans
Thayers Meeuw	Larus thayeri
Kleine Burgemeester	Larus glaucoides
Grote Burgemeester	Larus hyperboreus
Grote Mantelmeeuw	Larus marinus
Bonte Stern	Onychoprion fuscatus
Brilstern	Onychoprion anaethetus
Dwergstern	Sternula albifrons
Lachstern	Gelochelidon nilotica
Reuzenstern	Hydroprogne caspia
Witwangstern	Chlidonias hybrida
Witvleugelstern	Chlidonias leucopterus
Zwarte Stern	Chlidonias niger
Dougalls Stern	Sterna dougallii
Visdief	Sterna hirundo
Noordse Stern	Sterna paradisaea
Forsters Stern	Sterna forsteri
Sierlijke Stern	Sterna elegans
Grote Stern	Sterna sandvicensis
Amerikaanse Grote Stern	Sterna acuflavida
Visarend	Pandion haliaetus
Grijze Wouw	Elanus caeruleus
Wespendief	Pernis apivorus
Aasgier	Neophron percnopterus
Slangenarend	Circaetus gallicus
Vale Gier	Gyps fulvus
Monniksgier	Aegypius monachus
Schreeuwarend	Clanga pomarina
Bastaardarend	Clanga clanga
Dwergarend	Aquila pennata
Steppearend	Aquila nipalensis
Spaanse Keizerarend	Aquila adalberti
Keizerarend	Aquila heliaca
Steenarend	Aquila chrysaetos
Havikarend	Aquila fasciata
Bruine Kiekendief	Circus aeruginosus
Blauwe Kiekendief	Circus cyaneus
Steppekiekendief	Circus macrourus
Grauwe Kiekendief	Circus pygargus
Sperwer	Accipiter nisus
Havik	Accipiter gentilis
Zeearend	Haliaeetus albicilla
Rode Wouw	Milvus milvus
Zwarte Wouw	Milvus migrans
Ruigpootbuizerd	Buteo lagopus
Buizerd	Buteo buteo
Arendbuizerd	Buteo rufinus
Kerkuil	Tyto alba
Sperweruil	Surnia ulula
Dwerguil	Glaucidium passerinum
Steenuil	Athene vidalii
Ruigpootuil	Aegolius funereus
Dwergooruil	Otus scops
Ransuil	Asio otus
Velduil	Asio flammeus
Bosuil	Strix aluco
Sneeuwuil	Bubo scandiacus
Oehoe	Bubo bubo
Hop	Upupa epops
Bijeneter	Merops apiaster
Groene Bijeneter	Merops persicus
Scharrelaar	Coracias garrulus
IJsvogel	Alcedo atthis
Bandijsvogel	Megaceryle alcyon
Draaihals	Jynx torquilla
Grijskopspecht	Picus canus
Groene Specht	Picus viridis
Zwarte Specht	Dryocopus martius
Middelste Bonte Specht	Dendropicos medius
Grote Bonte Specht	Dendrocopos major
Kleine Bonte Specht	Dryobates minor
Kleine Torenvalk	Falco naumanni
Torenvalk	Falco tinnunculus
Roodpootvalk	Falco vespertinus
Eleonora's Valk	Falco eleonorae
Smelleken	Falco columbarius
Boomvalk	Falco subbuteo
Sakervalk	Falco cherrug
Giervalk	Falco rusticolus
Slechtvalk	Falco peregrinus
Roodoogvireo	Vireo olivaceus
Wielewaal	Oriolus oriolus
Bruine Klauwier	Lanius cristatus
Grauwe Klauwier	Lanius collurio
Turkestaanse Klauwier	Lanius phoenicuroides
Daurische Klauwier	Lanius isabellinus
Langstaartklauwier	Lanius schach
Kleine Klapekster	Lanius minor
Klapekster	Lanius excubitor
Maskerklauwier	Lanius nubicus
Roodkopklauwier	Lanius senator
Ekster	Pica pica
Gaai	Garrulus glandarius
Notenkraker	Nucifraga caryocatactes
Kauw	Corvus monedula
Daurische Kauw	Corvus dauuricus
Roek	Corvus frugilegus
Zwarte Kraai	Corvus corone
Bonte Kraai	Corvus cornix
Raaf	Corvus corax
Goudhaan	Regulus regulus
Vuurgoudhaan	Regulus ignicapilla
Buidelmees	Remiz pendulinus
Pimpelmees	Cyanistes caeruleus
Koolmees	Parus major
Kuifmees	Lophophanes cristatus
Zwarte Mees	Periparus ater
Matkop	Poecile montanus
Glanskop	Poecile palustris
Baardman	Panurus biarmicus
Boomleeuwerik	Lullula arborea
Veldleeuwerik	Alauda arvensis
Kuifleeuwerik	Galerida cristata
Strandleeuwerik	Eremophila flava
Kortteenleeuwerik	Calandrella brachydactyla
Bergkalanderleeuwerik	Melanocorypha bimaculata
Kalanderleeuwerik	Melanocorypha calandra
Oeverzwaluw	Riparia riparia
